area;org_review_lang;review_count
Rotenbühl;arabic;21
Rotenbühl;chinese;1
Rotenbühl;croatian;1
Rotenbühl;dutch;8
Rotenbühl;english;181
Rotenbühl;french;125
Rotenbühl;german;3517
Rotenbühl;greek;3
Rotenbühl;hungarian;3
Rotenbühl;indonesian;1
Rotenbühl;italian;9
Rotenbühl;korean;1
Rotenbühl;latin;1
Rotenbühl;luxembourgish;2
Rotenbühl;norwegian;1
Rotenbühl;polish;21
Rotenbühl;portuguese;3
Rotenbühl;romanian;7
Rotenbühl;russian;25
Rotenbühl;slovak;1
Rotenbühl;spanish;9
Rotenbühl;swedish;1
Rotenbühl;turkish;2
Rotenbühl;ukrainian;5
Burbach;albanian;1
Burbach;arabic;1790
Burbach;azerbaijani;1
Burbach;basque;1
Burbach;belarusian;1
Burbach;bosnian;2
Burbach;bulgarian;5
Burbach;chinese;4
Burbach;croatian;10
Burbach;czech;5
Burbach;danish;1
Burbach;dutch;32
Burbach;english;916
Burbach;finnish;2
Burbach;french;254
Burbach;german;7970
Burbach;hebrew;1
Burbach;hungarian;10
Burbach;indonesian;2
Burbach;italian;26
Burbach;japanese;3
Burbach;javanese;1
Burbach;korean;1
Burbach;kurdish;1
Burbach;latvian;1
Burbach;lithuanian;3
Burbach;luxembourgish;4
Burbach;northern sotho;1
Burbach;norwegian;7
Burbach;persian;7
Burbach;polish;30
Burbach;portuguese;9
Burbach;romanian;26
Burbach;russian;96
Burbach;sindhi;4
Burbach;slovak;2
Burbach;somali;2
Burbach;spanish;22
Burbach;sundanese;1
Burbach;swedish;5
Burbach;thai;2
Burbach;turkish;34
Burbach;ukrainian;22
Burbach;urdu;1
Burbach;vietnamese;2
Burbach;welsh;2
